time,longitude,latitude,accuracy,height,azimuth,rscp,ecio,car_speed,engine_rpm,accel_pos,engine_cool_temp,brake_sw,accum_dist,accum_fuel,battery_voltage,fuel_cost,idle_sw,ac,light_sw,steering_torque,shift_pos,shift_mode,blinker,wiper,fuel_injection,odometer,soc,air_temp_setting1,air_temp_setting2,air_temp_setting3,air_fan1,air_fan2,air_fan3,ext_int_air,door_lock,door_open,seatbelt,abs,temperature,motor_temperature,electric_mileage,a_000_x,a_000_y,a_000_z,a_200_x,a_200_y,a_200_z,a_400_x,a_400_y,a_400_z,a_600_x,a_600_y,a_600_z,a_800_x,a_800_y,a_800_z
1560594704,,,,,,,,0.00,891,10.0,64,0,3814292,563557.50,13.78,0.00,,,,,,,,,47,,,,,,,,,,,,,,,,,-38,0,1031,-35,-3,1031,-35,-1,1033,-35,-3,1030,-37,-1,1031
1560594705,,,,,,,,0.00,898,10.0,64,0,3814292,563558.27,13.82,0.00,,,,,,,,,44,,,,,,,,,,,,,,,,,-35,-1,1032,-36,0,1032,-36,-1,1032,-38,-2,1029,-36,-1,1031
1560594706,,,,,,,,0.00,879,10.0,64,0,3814292,563558.94,13.86,0.00,,,,,,,,,39,,,,,,,,,,,,,,,,,-36,-1,1031,-34,-1,1031,-35,-1,1029,-36,-2,1028,-35,-3,1028
1560594707,,,,,,,,0.00,865,10.0,64,0,3814292,563559.66,13.84,0.00,,,,,,,,,43,,,,,,,,,,,,,,,,,-35,-3,1028,-34,-3,1028,-34,-2,1028,-33,-3,1028,-35,-4,1028
1560594708,,,,,,,,0.00,864,10.0,64,0,3814292,563560.34,13.80,0.00,,,,,,,,,40,,,,,,,,,,,,,,,,,-35,-4,1028,-33,-3,1028,-34,-3,1028,-33,-3,1029,-34,-4,1028
1560594709,,,,,,,,0.00,839,10.0,64,0,3814292,563561.00,13.86,0.00,,,,,,,,,39,,,,,,,,,,,,,,,,,-35,-2,1028,-34,-2,1029,-33,-3,1028,-33,-2,1029,-33,-3,1027
1560594710,,,,,,,,0.00,837,10.0,64,0,3814292,563561.63,13.81,0.00,,,,,,,,,37,,,,,,,,,,,,,,,,,-33,-3,1027,-36,-8,1033,-38,-11,1030,-32,-2,1031,-34,-7,1027
1560594711,,,,,,,,0.00,827,10.0,64,0,3814292,563562.25,13.82,0.00,,,,,,,,,37,,,,,,,,,,,,,,,,,-34,-7,1027,-34,-2,1032,-38,-4,1032,-31,-6,1029,-34,-4,1029
1560594712,,,,,,,,0.00,821,10.0,64,0,3814292,563562.87,13.85,0.00,,,,,,,,,36,,,,,,,,,,,,,,,,,-34,-4,1030,-39,-4,1032,-32,0,1029,-35,-5,1031,-32,-8,1032
1560594713,,,,,,,,0.00,816,10.0,64,0,3814292,563563.49,13.80,0.00,,,,,,,,,37,,,,,,,,,,,,,,,,,-35,-6,1029,-34,-4,1024,-39,-1,1037,-32,-3,1030,-48,-4,1037
1560594714,,,,,,,,0.00,824,10.0,64,0,3814292,563564.12,13.84,0.00,,,,,,,,,37,,,,,,,,,,,,,,,,,-48,-4,1037,-46,0,1030,-33,-5,1032,-35,-4,1032,-33,-5,1028
1560594715,,,,,,,,0.00,809,10.0,64,0,3814292,563564.72,13.80,0.00,,,,,,,,,36,,,,,,,,,,,,,,,,,-33,-6,1028,-34,-3,1030,-33,-4,1030,-35,-4,1031,-31,-4,1029
1560594716,,,,,,,,0.00,812,10.0,64,0,3814292,563565.35,13.74,0.00,,,,,,,,,38,,,,,,,,,,,,,,,,,-31,-4,1029,-36,-4,1033,-32,-3,1030,-34,-3,1030,-32,-5,1028
1560594717,,,,,,,,0.00,789,10.0,64,0,3814292,563565.96,13.77,0.00,,,,,,,,,36,,,,,,,,,,,,,,,,,-32,-4,1029,-32,-3,1029,-33,-4,1030,-35,-5,1031,-34,-4,1031
1560594718,,,,,,,,0.00,790,10.0,64,0,3814292,563566.57,13.78,0.00,,,,,,,,,36,,,,,,,,,,,,,,,,,-34,-4,1031,-33,-3,1030,-33,-5,1028,-33,-3,1030,-33,-4,1030
1560594719,,,,,,,,0.00,790,10.0,64,0,3814292,563567.19,13.84,0.00,,,,,,,,,36,,,,,,,,,,,,,,,,,-33,-4,1030,-33,-3,1030,-35,-2,1031,-32,-3,1031,-33,-3,1029
1560594720,,,,,,,,0.00,795,10.0,64,0,3814292,563567.82,13.81,0.00,,,,,,,,,38,,,,,,,,,,,,,,,,,-33,-3,1029,-34,-4,1029,-34,-2,1028,-32,-5,1028,-33,-1,1029
1560594721,,,,,,,,0.00,804,10.0,64,0,3814292,563568.46,13.80,0.00,,,,,,,,,38,,,,,,,,,,,,,,,,,-33,-3,1030,-34,-4,1030,-35,-2,1030,-35,-3,1031,-35,-2,1031
1560594722,,,,,,,,0.00,811,10.0,64,0,3814292,563569.06,13.77,0.00,,,,,,,,,36,,,,,,,,,,,,,,,,,-35,-2,1031,-36,-2,1032,-34,-3,1031,-34,-2,1031,-35,-4,1029
1560594723,,,,,,,,0.00,815,10.0,64,0,3814292,563569.67,13.82,0.00,,,,,,,,,36,,,,,,,,,,,,,,,,,-35,-4,1029,-34,-2,1031,-33,-3,1030,-32,-3,1029,-34,-2,1032
1560594724,,,,,,,,0.00,813,10.0,64,0,3814292,563570.28,13.82,0.00,,,,,,,,,36,,,,,,,,,,,,,,,,,-34,-2,1032,-33,-1,1030,-35,-3,1030,-33,-1,1031,-35,-2,1032
1560594725,,,,,,,,0.00,823,10.0,64,0,3814292,563570.90,13.77,0.00,,,,,,,,,37,,,,,,,,,,,,,,,,,-34,-1,1031,-35,-2,1032,-34,-2,1032,-34,-1,1032,-34,-2,1031
1560594726,,,,,,,,0.00,815,10.0,64,0,3814292,563571.51,13.72,0.00,,,,,,,,,36,,,,,,,,,,,,,,,,,-34,-2,1031,-33,-1,1030,-33,-2,1031,-33,-2,1030,-33,-4,1029
