time,longitude,latitude,accuracy,height,azimuth,rscp,ecio,car_speed,engine_rpm,accel_pos,engine_cool_temp,brake_sw,accum_dist,accum_fuel,battery_voltage,fuel_cost,idle_sw,ac,light_sw,steering_torque,shift_pos,shift_mode,blinker,wiper,fuel_injection,odometer,soc,air_temp_setting1,air_temp_setting2,air_temp_setting3,air_fan1,air_fan2,air_fan3,ext_int_air,door_lock,door_open,seatbelt,abs,temperature,motor_temperature,electric_mileage,a_000_x,a_000_y,a_000_z,a_200_x,a_200_y,a_200_z,a_400_x,a_400_y,a_400_z,a_600_x,a_600_y,a_600_z,a_800_x,a_800_y,a_800_z
1559466821,,,,,,,,0.00,936,10.0,68,0,3741508,553192.59,13.82,0.00,,,,,,,,,46,,,,,,,,,,,,,,,,,-66,2,1028,-67,3,1027,-67,3,1028,-65,2,1028,-68,3,1027
1559466822,,,,,,,,0.00,944,10.0,68,0,3741508,553193.33,13.89,0.00,,,,,,,,,44,,,,,,,,,,,,,,,,,-68,3,1027,-65,3,1030,-67,2,1026,-65,4,1027,-69,0,1025
1559466823,,,,,,,,0.00,917,10.0,68,0,3741508,553194.03,13.88,0.00,,,,,,,,,42,,,,,,,,,,,,,,,,,-69,0,1025,-63,6,1030,-69,6,1030,-68,4,1028,-64,4,1029
1559466824,,,,,,,,0.00,899,10.0,68,0,3741508,553194.72,13.82,0.00,,,,,,,,,40,,,,,,,,,,,,,,,,,-64,4,1029,-68,4,1028,-63,6,1028,-68,6,1029,-67,5,1026
1559466825,,,,,,,,0.00,875,10.0,68,0,3741508,553195.38,13.83,0.00,,,,,,,,,38,,,,,,,,,,,,,,,,,-64,2,1029,-68,5,1028,-65,4,1027,-67,4,1032,-66,3,1029
1559466826,,,,,,,,0.00,862,10.0,68,0,3741508,553195.99,13.90,0.00,,,,,,,,,37,,,,,,,,,,,,,,,,,-66,3,1029,-66,6,1029,-68,4,1028,-65,5,1030,-65,4,1028
1559466827,,,,,,,,0.00,839,10.0,68,0,3741508,553196.59,13.89,0.00,,,,,,,,,36,,,,,,,,,,,,,,,,,-65,4,1028,-65,5,1031,-65,5,1031,-65,5,1029,-65,5,1029
1559466828,,,,,,,,0.00,824,10.0,68,0,3741508,553197.19,13.87,0.00,,,,,,,,,36,,,,,,,,,,,,,,,,,-65,5,1029,-66,4,1029,-65,3,1028,-65,3,1027,-64,4,1026
1559466829,,,,,,,,0.00,810,10.0,68,0,3741508,553197.79,13.80,0.00,,,,,,,,,34,,,,,,,,,,,,,,,,,-66,6,1030,-64,6,1031,-65,6,1031,-65,5,1030,-65,5,1029
1559466830,,,,,,,,0.00,804,10.0,68,0,3741508,553198.37,13.86,0.00,,,,,,,,,34,,,,,,,,,,,,,,,,,-65,5,1029,-65,6,1030,-65,4,1030,-65,6,1030,-65,4,1029
1559466831,,,,,,,,0.00,801,10.0,68,0,3741508,553198.95,13.91,0.00,,,,,,,,,34,,,,,,,,,,,,,,,,,-65,4,1029,-66,5,1030,-65,4,1029,-66,5,1030,-63,4,1030
1559466832,,,,,,,,0.00,803,10.0,68,0,3741508,553199.53,13.82,0.00,,,,,,,,,33,,,,,,,,,,,,,,,,,-63,4,1030,-65,5,1030,-66,6,1031,-64,6,1031,-65,6,1032
1559466833,,,,,,,,0.00,793,10.0,68,0,3741508,553200.11,13.75,0.00,,,,,,,,,36,,,,,,,,,,,,,,,,,-65,5,1028,-67,5,1027,-67,5,1028,-65,4,1028,-66,4,1029
1559466834,,,,,,,,0.00,784,10.0,68,0,3741508,553200.70,13.86,0.00,,,,,,,,,35,,,,,,,,,,,,,,,,,-66,4,1029,-66,4,1028,-64,6,1030,-67,5,1029,-67,5,1031
1559466835,,,,,,,,0.00,940,10.0,68,0,3741508,553201.21,13.77,0.00,,,,,,,,,30,,,,,,,,,,,,,,,,,-67,5,1030,-65,4,1029,-67,3,1029,-66,5,1029,-66,4,1030
1559466836,,,,,,,,0.00,860,10.0,68,0,3741508,553201.67,13.84,0.00,,,,,,,,,27,,,,,,,,,,,,,,,,,-66,5,1030,-66,6,1031,-65,5,1031,-66,5,1031,-66,4,1030
1559466837,,,,,,,,0.00,861,10.0,68,0,3741508,553202.12,13.85,0.00,,,,,,,,,27,,,,,,,,,,,,,,,,,-67,4,1030,-65,4,1031,-66,5,1029,-66,4,1031,-66,5,1030
1559466838,,,,,,,,0.00,862,10.0,68,0,3741508,553202.58,13.83,0.00,,,,,,,,,27,,,,,,,,,,,,,,,,,-66,5,1030,-65,5,1031,-65,8,1032,-65,3,1031,-65,7,1033
1559466839,,,,,,,,0.00,857,10.0,68,0,3741508,553203.04,13.81,0.00,,,,,,,,,27,,,,,,,,,,,,,,,,,-65,7,1033,-66,5,1032,-65,7,1033,-65,5,1031,-66,5,1030
1559466840,,,,,,,,0.00,850,10.0,68,0,3741508,553203.50,13.88,0.00,,,,,,,,,27,,,,,,,,,,,,,,,,,-66,5,1030,-67,4,1030,-66,5,1029,-65,6,1030,-66,7,1032
