time,longitude,latitude,accuracy,height,azimuth,rscp,ecio,car_speed,engine_rpm,accel_pos,engine_cool_temp,brake_sw,accum_dist,accum_fuel,battery_voltage,fuel_cost,idle_sw,ac,light_sw,steering_torque,shift_pos,shift_mode,blinker,wiper,fuel_injection,odometer,soc,air_temp_setting1,air_temp_setting2,air_temp_setting3,air_fan1,air_fan2,air_fan3,ext_int_air,door_lock,door_open,seatbelt,abs,temperature,motor_temperature,electric_mileage,a_000_x,a_000_y,a_000_z,a_200_x,a_200_y,a_200_z,a_400_x,a_400_y,a_400_z,a_600_x,a_600_y,a_600_z,a_800_x,a_800_y,a_800_z
1560417843,,,,,,58,3,0.00,923,10.0,39,1,3787506,559131.25,13.79,0.00,,,,,,,,,61,,,,,,,,,,,,,,,,,2,1,1072,0,-1,1069,-2,0,1069,0,1,1072,0,1,1070
1560417844,,,,,,58,3,0.00,926,10.0,39,1,3787506,559132.24,13.71,0.00,,,,,,,,,57,,,,,,,,,,,,,,,,,0,1,1070,0,1,1071,0,2,1075,0,0,1072,0,0,1069
1560417845,,,,,,58,3,0.00,905,10.0,39,1,3787506,559133.18,13.74,0.00,,,,,,,,,56,,,,,,,,,,,,,,,,,22,9,1073,86,21,1079,44,36,1078,44,30,1080,74,33,1076
1560417846,,,,,,58,3,0.00,881,10.0,39,1,3787506,559134.19,13.83,0.00,,,,,,,,,63,,,,,,,,,,,,,,,,,71,34,1076,75,35,1075,68,36,1079,82,45,1075,75,46,1069
1560417847,,,,,,58,5,0.00,975,10.0,39,1,3787506,559135.35,13.82,0.00,,,,,,,,,70,,,,,,,,,,,,,,,,,74,44,1068,84,48,1071,104,81,1067,90,116,1101,99,59,1048
1560417848,,,,,,58,5,0.00,968,10.0,39,0,3787507,559136.54,13.91,1.10,,,,,,,,,71,,,,,,,,,,,,,,,,,99,59,1048,101,63,1059,95,76,1098,137,-40,1053,127,94,1046
1560417849,,,,,,58,5,6.00,1211,14.0,40,0,3787508,559138.19,13.84,1.00,,,,,,,,,99,,,,,,,,,,,,,,,,,95,115,1063,131,141,1049,183,118,1022,159,66,1082,155,39,1057
1560417850,,,,,,58,4,8.00,1455,17.0,40,0,3787511,559140.72,13.83,0.80,,,,,,,,,149,,,,,,,,,,,,,,,,,155,55,1052,125,55,1100,142,55,1052,158,18,1061,156,-18,1095
1560417851,,,,,,58,4,10.00,1612,19.0,40,0,3787514,559143.63,13.84,1.00,,,,,,,,,182,,,,,,,,,,,,,,,,,155,-17,1098,159,-19,1049,153,-65,1060,167,-42,1033,136,14,1096
1560417852,,,,,,58,4,12.00,1828,19.0,40,0,3787518,559146.71,13.78,1.40,,,,,,,,,188,,,,,,,,,,,,,,,,,136,14,1096,156,-26,1063,123,-31,1057,147,-10,1078,157,-13,1067
