time,longitude,latitude,accuracy,height,azimuth,rscp,ecio,car_speed,engine_rpm,accel_pos,engine_cool_temp,brake_sw,accum_dist,accum_fuel,battery_voltage,fuel_cost,idle_sw,ac,light_sw,steering_torque,shift_pos,shift_mode,blinker,wiper,fuel_injection,odometer,soc,air_temp_setting1,air_temp_setting2,air_temp_setting3,air_fan1,air_fan2,air_fan3,ext_int_air,door_lock,door_open,seatbelt,abs,temperature,motor_temperature,electric_mileage,a_000_x,a_000_y,a_000_z,a_200_x,a_200_y,a_200_z,a_400_x,a_400_y,a_400_z,a_600_x,a_600_y,a_600_z,a_800_x,a_800_y,a_800_z
1560597689,,,,,,,,0.00,721,10.0,87,0,3824802,565135.91,13.27,0.00,,,,,,,,,42,,,,,,,,,,,,,,,,,-22,-21,1029,-23,-21,1031,-25,-19,1030,-24,-19,1033,-35,-19,1030
1560597690,,,,,,,,0.00,748,10.0,87,1,3824802,565136.60,13.41,0.00,,,,,,,,,41,,,,,,,,,,,,,,,,,-25,-21,1029,-9,-20,1027,-25,-21,1033,26,-24,1030,38,-27,1035
1560597691,,,,,,,,0.00,676,10.0,87,0,3824802,565137.43,13.47,0.00,,,,,,,,,45,,,,,,,,,,,,,,,,,39,-27,1036,42,-23,1033,31,-27,1030,16,-24,1033,19,-22,1031
1560597692,,,,,,,,0.00,914,10.0,87,0,3824802,565138.34,13.28,0.00,,,,,,,,,48,,,,,,,,,,,,,,,,,19,-22,1031,13,-23,1033,3,-20,1031,-2,-25,1030,-15,-29,1039
1560597693,,,,,,,,0.00,763,10.0,87,1,3824802,565139.24,13.37,0.00,,,,,,,,,58,,,,,,,,,,,,,,,,,-15,-29,1039,-23,-44,1033,-20,-69,1039,-28,-76,1041,-18,-45,1040
1560597694,,,,,,,,3.00,820,10.0,87,1,3824802,565140.23,13.35,0.80,,,,,,,,,59,,,,,,,,,,,,,,,,,-16,-37,1035,-27,-46,1036,-31,-46,1038,-31,-55,1029,-37,-52,1039
1560597695,,,,,,,,4.00,813,10.0,87,0,3824803,565141.17,13.49,1.10,,,,,,,,,56,,,,,,,,,,,,,,,,,-37,-52,1039,-37,-48,1034,-36,-46,1030,-45,-47,1038,-40,-50,1018
1560597696,,,,,,,,5.00,794,10.0,87,0,3824805,565142.10,13.43,1.40,,,,,,,,,55,,,,,,,,,,,,,,,,,-40,-50,1018,-50,-25,1051,-47,-38,1028,-55,-46,1033,-28,-17,1031
1560597697,,,,,,,,5.00,753,10.0,87,0,3824806,565143.04,13.44,1.40,,,,,,,,,56,,,,,,,,,,,,,,,,,-28,-17,1031,-45,-46,1034,-58,-62,1045,-43,-38,1031,-55,-38,1037
1560597698,,,,,,,,6.00,773,10.0,86,1,3824808,565143.87,13.28,1.90,,,,,,,,,50,,,,,,,,,,,,,,,,,-98,20,1023,-111,43,1024,-122,49,1031,-104,38,1017,-108,28,1020
1560597699,,,,,,,,6.00,735,10.0,86,1,3824809,565144.75,13.32,1.80,,,,,,,,,52,,,,,,,,,,,,,,,,,-108,28,1020,-97,29,1023,-129,31,1019,-79,12,1029,-54,2,1018
1560597700,,,,,,,,3.00,787,10.0,86,1,3824810,565145.21,13.26,99.99,,,,,,,,,0,,,,,,,,,,,,,,,,,-54,2,1018,-50,5,1030,-56,0,1026,-94,5,1020,-96,-3,1022
1560597701,,,,,,,,3.00,1002,10.0,86,1,3824811,565145.71,13.29,0.80,,,,,,,,,59,,,,,,,,,,,,,,,,,-96,-3,1022,-73,-8,1025,-76,-9,1023,-74,-10,1024,-72,-9,1023
1560597702,,,,,,,,3.00,859,10.0,86,1,3824812,565146.49,13.24,1.00,,,,,,,,,46,,,,,,,,,,,,,,,,,-76,-3,1025,-55,-13,1029,-24,-2,1026,-13,28,1031,-1,30,1040
1560597703,,,,,,,,0.00,815,10.0,85,1,3824812,565147.22,13.23,0.00,,,,,,,,,44,,,,,,,,,,,,,,,,,-1,30,1040,4,19,1030,-4,29,1034,-21,26,1038,-15,25,1030
1560597704,,,,,,,,3.00,823,10.0,85,1,3824813,565147.89,13.27,1.40,,,,,,,,,34,,,,,,,,,,,,,,,,,-15,25,1030,-6,36,1042,2,40,1037,11,34,1034,4,30,1038
1560597705,,,,,,,,3.00,766,10.0,85,1,3824813,565148.54,13.25,1.10,,,,,,,,,44,,,,,,,,,,,,,,,,,4,30,1038,-26,21,1031,-13,21,1033,6,25,1033,34,21,1039
1560597706,,,,,,,,3.00,857,10.0,85,0,3824814,565149.29,13.40,1.00,,,,,,,,,46,,,,,,,,,,,,,,,,,18,-16,1033,9,-15,1034,6,-21,1033,-1,-30,1032,1,-22,1031
1560597707,,,,,,,,3.00,804,10.0,85,0,3824815,565150.01,13.37,1.10,,,,,,,,,44,,,,,,,,,,,,,,,,,1,-22,1031,-14,-30,1038,-27,-38,1039,-21,-43,1037,-33,-62,1034
1560597708,,,,,,,,0.00,787,10.0,85,0,3824815,565150.75,13.43,0.00,,,,,,,,,45,,,,,,,,,,,,,,,,,-33,-62,1034,-31,-49,1041,-22,-44,1030,-31,-41,1034,-18,-28,1034
1560597709,,,,,,,,4.00,827,10.0,85,0,3824816,565151.46,13.34,2.00,,,,,,,,,40,,,,,,,,,,,,,,,,,-18,-28,1034,-34,-52,1035,-30,-52,1031,-41,-36,1038,-43,-38,1031
1560597710,,,,,,125,31,6.00,730,10.0,85,0,3824818,565151.99,13.34,3.10,,,,,,,,,31,,,,,,,,,,,,,,,,,-18,-6,1035,-6,0,1030,-24,3,1033,-3,6,1028,5,-3,1035
1560597711,,,,,,125,31,6.00,717,12.0,85,0,3824820,565152.73,13.42,2.10,,,,,,,,,46,,,,,,,,,,,,,,,,,5,-3,1035,13,1,1033,18,5,1030,6,3,1041,8,3,1023
1560597712,,,,,,74,9,6.00,904,13.0,85,0,3824821,565153.92,13.43,1.10,,,,,,,,,83,,,,,,,,,,,,,,,,,7,2,1023,11,23,1041,29,21,1034,40,15,1038,37,3,1036
1560597713,,,,,,74,9,7.00,1038,14.0,85,0,3824823,565155.33,13.43,1.50,,,,,,,,,86,,,,,,,,,,,,,,,,,39,3,1035,39,2,1020,29,5,1038,31,3,1024,25,3,1041
1560597714,,,,,,74,9,9.00,1266,15.0,85,0,3824826,565156.75,13.44,1.60,,,,,,,,,88,,,,,,,,,,,,,,,,,21,9,1020,18,-2,1032,6,13,1041,8,9,1028,3,-4,1037
1560597715,,,,,,74,7,12.00,1388,15.0,84,0,3824829,565158.00,13.43,3.30,,,,,,,,,60,,,,,,,,,,,,,,,,,3,-4,1037,0,5,1016,-41,15,1030,-40,5,1024,-34,-5,1019
1560597716,,,,,,74,7,14.00,1358,10.0,84,0,3824833,565158.49,13.40,99.99,,,,,,,,,0,,,,,,,,,,,,,,,,,-34,-5,1019,-51,-4,1042,-48,27,1024,-46,-12,1025,-48,-28,1030
1560597717,,,,,,74,7,13.00,1021,10.0,84,0,3824836,565158.85,13.35,5.00,,,,,,,,,42,,,,,,,,,,,,,,,,,-48,-28,1030,-52,18,1040,-42,13,1020,-44,0,1041,-41,12,1022
1560597718,,,,,,67,4,13.00,867,10.0,84,1,3824840,565159.58,13.29,5.00,,,,,,,,,43,,,,,,,,,,,,,,,,,-64,1,1028,-65,20,1013,-65,3,1020,-63,5,1008,-90,3,1053
1560597719,,,,,,67,4,14.00,851,10.0,84,1,3824844,565160.29,13.22,5.30,,,,,,,,,43,,,,,,,,,,,,,,,,,-90,3,1053,-84,31,1015,-72,-29,1032,-63,-14,1020,-61,-26,1027
1560597720,,,,,,67,4,12.00,840,10.0,84,1,3824847,565161.01,13.29,4.70,,,,,,,,,42,,,,,,,,,,,,,,,,,-61,-26,1027,-65,-47,1027,-64,-26,1041,-57,-6,1027,-49,-32,1019
1560597721,,,,,,67,5,12.00,836,10.0,84,1,3824850,565161.72,13.29,4.10,,,,,,,,,43,,,,,,,,,,,,,,,,,-48,-38,1020,-49,-45,1006,-56,-38,1044,-57,-32,1027,-61,-42,1029
1560597722,,,,,,67,5,12.00,888,10.0,84,1,3824854,565162.60,13.29,3.60,,,,,,,,,54,,,,,,,,,,,,,,,,,-65,-37,1050,-56,-18,1016,-74,-43,1030,-75,-28,1025,-82,-14,1031
1560597723,,,,,,67,5,11.00,882,10.0,84,1,3824857,565163.32,13.26,4.20,,,,,,,,,43,,,,,,,,,,,,,,,,,-83,-13,1031,-85,-22,1021,-88,-7,1014,-96,-8,1023,-88,6,1023
1560597724,,,,,,67,3,10.00,850,10.0,84,1,3824859,565164.02,13.31,4.00,,,,,,,,,41,,,,,,,,,,,,,,,,,-88,6,1023,-84,-1,1017,-82,-1,1020,-80,-2,1020,-74,8,1020
1560597725,,,,,,67,3,9.00,800,10.0,84,1,3824862,565164.71,13.22,3.20,,,,,,,,,41,,,,,,,,,,,,,,,,,-75,7,1016,-75,-2,1037,-70,3,1013,-75,0,1021,-77,8,1033
1560597726,,,,,,67,3,5.00,718,10.0,84,1,3824864,565165.43,13.23,1.90,,,,,,,,,42,,,,,,,,,,,,,,,,,-92,1,1016,-96,-6,1021,-95,5,1019,-94,-3,1019,-93,-1,1025
1560597727,,,,,,67,3,5.00,712,10.0,84,1,3824865,565166.15,13.24,1.90,,,,,,,,,42,,,,,,,,,,,,,,,,,-93,-1,1025,-84,4,1021,-85,-2,1023,-84,0,1019,-82,1,1022
1560597728,,,,,,67,3,3.00,723,10.0,84,1,3824866,565166.87,13.25,1.10,,,,,,,,,42,,,,,,,,,,,,,,,,,-82,1,1022,-83,0,1021,-82,1,1022,-38,0,1032,-25,0,1018
1560597729,,,,,,67,3,3.00,729,10.0,84,1,3824867,565167.59,13.16,1.10,,,,,,,,,42,,,,,,,,,,,,,,,,,-25,0,1018,-24,-1,1031,-25,-1,1025,-24,-1,1026,-27,0,1029
1560597730,135.559908,34.738335,1.0,46.7,313.2,67,2,3.00,725,10.0,84,1,3824867,565168.30,13.26,1.10,,,,,,,,,42,,,,,,,,,,,,,,,,,-27,0,1027,-26,0,1027,-25,0,1028,-27,-1,1026,-26,-1,1026
1560597731,135.559895,34.738362,1.0,46.0,313.2,67,2,0.00,725,10.0,84,1,3824867,565169.01,13.26,0.00,,,,,,,,,42,,,,,,,,,,,,,,,,,-26,-1,1026,-26,0,1027,-27,0,1028,-26,0,1028,-26,0,1029
1560597732,135.559871,34.738395,1.0,40.7,313.2,67,2,0.00,734,10.0,84,1,3824867,565169.73,13.30,0.00,,,,,,,,,42,,,,,,,,,,,,,,,,,-26,0,1029,-25,0,1028,-26,1,1030,-26,0,1030,-27,0,1028
1560597733,135.559861,34.738401,1.0,38.6,313.2,67,2,0.00,735,10.0,84,1,3824867,565170.43,13.33,0.00,,,,,,,,,41,,,,,,,,,,,,,,,,,-27,0,1028,-26,-2,1027,-26,1,1029,-28,-1,1028,-27,0,1030
1560597734,135.559853,34.738416,1.0,32.2,313.2,67,2,0.00,716,10.0,84,1,3824867,565171.10,13.31,0.00,,,,,,,,,40,,,,,,,,,,,,,,,,,-28,0,1028,-24,0,1029,-26,0,1027,-26,0,1028,-26,0,1028
1560597735,135.559846,34.738425,1.0,30.2,313.2,67,2,0.00,721,10.0,84,1,3824867,565171.81,13.22,0.00,,,,,,,,,42,,,,,,,,,,,,,,,,,-27,0,1027,-28,0,1026,-26,0,1026,-27,0,1026,-26,-1,1027
1560597736,135.559837,34.738442,1.1,28.7,313.2,61,2,0.00,707,10.0,84,1,3824867,565172.49,13.24,0.00,,,,,,,,,41,,,,,,,,,,,,,,,,,-25,-1,1030,-26,0,1025,-27,-1,1026,-28,-1,1026,-27,1,1027
1560597737,135.559837,34.738451,1.1,26.0,313.2,61,2,0.00,716,10.0,84,1,3824867,565173.18,13.29,0.00,,,,,,,,,41,,,,,,,,,,,,,,,,,-27,1,1027,-28,0,1026,-27,0,1027,-28,-2,1027,-28,-1,1027
1560597738,135.559837,34.738469,1.1,25.9,313.2,61,2,0.00,711,10.0,84,1,3824867,565173.87,13.23,0.00,,,,,,,,,41,,,,,,,,,,,,,,,,,-27,-1,1026,-26,-1,1025,-26,-1,1026,-27,0,1027,-27,0,1028
1560597739,135.559837,34.738467,1.1,25.7,313.2,61,2,0.00,709,10.0,84,1,3824867,565174.56,13.25,0.00,,,,,,,,,41,,,,,,,,,,,,,,,,,-27,0,1028,-25,0,1027,-27,0,1026,-27,0,1028,-28,0,1030
1560597740,135.559836,34.738468,1.1,25.2,313.2,61,2,0.00,709,10.0,84,1,3824867,565175.24,13.25,0.00,,,,,,,,,41,,,,,,,,,,,,,,,,,-28,0,1030,-27,0,1028,-27,0,1028,-27,0,1028,-28,-1,1026
1560597741,135.559829,34.738473,1.1,24.9,313.2,61,2,0.00,716,10.0,84,1,3824867,565175.93,13.24,0.00,,,,,,,,,41,,,,,,,,,,,,,,,,,-28,-1,1026,-27,0,1026,-28,0,1027,-26,1,1031,-27,0,1027
1560597742,135.559829,34.738473,1.1,24.7,313.2,61,2,0.00,707,10.0,84,1,3824867,565176.62,13.26,0.00,,,,,,,,,41,,,,,,,,,,,,,,,,,-27,0,1028,-26,0,1026,-28,-1,1028,-28,0,1027,-28,0,1027
1560597743,135.559829,34.738473,1.1,24.6,313.2,61,2,0.00,711,10.0,84,1,3824867,565177.31,13.23,0.00,,,,,,,,,41,,,,,,,,,,,,,,,,,-28,0,1027,-27,0,1029,-26,1,1028,-28,0,1027,-27,1,1025
1560597744,135.559827,34.738474,1.1,24.5,313.2,61,2,0.00,711,10.0,84,1,3824867,565177.99,13.31,0.00,,,,,,,,,40,,,,,,,,,,,,,,,,,-27,1,1025,-27,0,1027,-27,0,1027,-26,0,1028,-27,0,1030
1560597745,135.559827,34.738474,1.1,24.5,313.2,61,2,0.00,710,10.0,84,1,3824867,565178.67,13.18,0.00,,,,,,,,,41,,,,,,,,,,,,,,,,,-27,0,1030,-26,0,1027,-28,1,1028,-25,3,1031,-27,-2,1025
1560597746,135.559827,34.738474,1.1,24.4,313.2,61,2,0.00,713,10.0,84,1,3824867,565179.36,13.30,0.00,,,,,,,,,41,,,,,,,,,,,,,,,,,-25,-1,1027,-26,-1,1026,-25,-2,1025,-28,-1,1025,-27,0,1028
1560597747,135.559827,34.738474,1.1,24.3,313.2,61,2,0.00,707,10.0,84,1,3824867,565180.05,13.23,0.00,,,,,,,,,41,,,,,,,,,,,,,,,,,-27,0,1028,-25,0,1030,-26,0,1026,-27,0,1026,-27,0,1025
1560597748,135.559834,34.738469,1.0,25.5,313.2,61,2,0.00,711,10.0,84,1,3824867,565180.72,13.28,0.00,,,,,,,,,40,,,,,,,,,,,,,,,,,-27,0,1025,-27,0,1027,-26,0,1027,-25,0,1027,-28,0,1027
1560597749,135.559833,34.738470,1.0,25.4,313.2,61,2,0.00,707,10.0,84,1,3824867,565181.40,13.22,0.00,,,,,,,,,41,,,,,,,,,,,,,,,,,-28,0,1027,-27,0,1025,-28,0,1029,-26,0,1026,-26,1,1027
1560597750,135.559833,34.738470,1.0,25.3,313.2,61,2,0.00,706,10.0,84,1,3824867,565182.07,13.29,0.00,,,,,,,,,40,,,,,,,,,,,,,,,,,-26,0,1029,-27,0,1028,-27,1,1028,-27,1,1028,-24,2,1031
1560597751,135.559833,34.738470,1.0,25.2,313.2,61,2,0.00,710,10.0,84,1,3824867,565182.76,13.23,0.00,,,,,,,,,41,,,,,,,,,,,,,,,,,-24,2,1031,-27,1,1028,-26,1,1029,-26,0,1030,-25,-1,1028
1560597752,135.559843,34.738461,1.0,27.1,313.2,61,2,0.00,814,10.0,84,1,3824867,565183.32,13.26,0.00,,,,,,,,,32,,,,,,,,,,,,,,,,,-25,-1,1028,-25,0,1029,-25,1,1030,-25,0,1029,-25,0,1030
1560597753,135.559843,34.738461,1.0,27.0,313.2,61,2,0.00,744,10.0,84,1,3824867,565183.85,13.31,0.00,,,,,,,,,30,,,,,,,,,,,,,,,,,-25,0,1030,-24,0,1027,-26,0,1027,-25,0,1028,-26,0,1029
1560597754,135.559857,34.738449,1.0,29.7,313.2,61,2,0.00,727,10.0,84,1,3824867,565184.38,13.24,0.00,,,,,,,,,31,,,,,,,,,,,,,,,,,-26,0,1027,-26,3,1030,-26,0,1029,-27,1,1029,-26,0,1027
1560597755,135.559857,34.738449,1.0,29.6,313.2,61,2,0.00,723,10.0,84,1,3824867,565184.91,13.28,0.00,,,,,,,,,31,,,,,,,,,,,,,,,,,-26,0,1027,-26,0,1029,-27,0,1028,-27,0,1025,-27,0,1027
1560597756,135.559876,34.738429,0.9,32.8,313.2,61,2,0.00,719,10.0,84,1,3824867,565185.41,13.27,0.00,,,,,,,,,29,,,,,,,,,,,,,,,,,-27,0,1027,-26,1,1030,-26,1,1030,-26,1,1030,-26,1,1027
1560597757,135.559875,34.738424,0.9,34.7,313.2,61,2,0.00,709,10.0,84,1,3824867,565185.90,13.29,0.00,,,,,,,,,29,,,,,,,,,,,,,,,,,-26,1,1027,-27,1,1029,-26,1,1028,-27,1,1028,-27,0,1027
1560597758,135.559891,34.738411,0.9,38.6,313.2,61,2,0.00,700,10.0,84,1,3824867,565186.39,13.27,0.00,,,,,,,,,29,,,,,,,,,,,,,,,,,-24,0,1028,-24,0,1026,-27,0,1029,-27,0,1028,-26,0,1028
1560597759,135.559893,34.738404,0.9,39.2,313.2,61,2,0.00,694,10.0,84,1,3824867,565186.86,13.30,0.00,,,,,,,,,28,,,,,,,,,,,,,,,,,-26,0,1028,-26,0,1026,-27,0,1028,-26,0,1028,-26,0,1028
1560597760,135.559906,34.738394,0.9,42.5,313.2,61,2,0.00,694,10.0,84,1,3824867,565187.34,13.30,0.00,,,,,,,,,28,,,,,,,,,,,,,,,,,-26,0,1028,-25,1,1029,-24,0,1029,-26,1,1030,-27,0,1032
1560597761,135.559923,34.738378,0.9,46.1,313.2,61,2,0.00,695,10.0,84,1,3824867,565187.82,13.27,0.00,,,,,,,,,29,,,,,,,,,,,,,,,,,-27,0,1032,-27,1,1030,-27,0,1029,-27,0,1029,-27,2,1029
1560597762,135.559922,34.738377,0.9,47.2,313.2,61,2,0.00,691,10.0,84,1,3824867,565188.29,13.28,0.00,,,,,,,,,28,,,,,,,,,,,,,,,,,-26,-2,1025,-25,-1,1027,-26,0,1026,-27,0,1027,-27,1,1029
1560597763,135.559934,34.738367,0.9,50.0,313.2,61,2,0.00,684,10.0,84,1,3824867,565188.77,13.24,0.00,,,,,,,,,28,,,,,,,,,,,,,,,,,-27,1,1029,-26,0,1026,-25,0,1031,-26,0,1028,-24,2,1032
1560597764,135.559936,34.738365,0.9,49.1,313.2,61,2,0.00,689,10.0,84,1,3824867,565189.24,13.31,0.00,,,,,,,,,28,,,,,,,,,,,,,,,,,-24,2,1032,-26,1,1030,-25,2,1031,-26,2,1029,-27,2,1030
1560597765,135.559945,34.738359,0.9,51.5,313.2,61,2,0.00,689,10.0,84,1,3824867,565189.71,13.28,0.00,,,,,,,,,28,,,,,,,,,,,,,,,,,-27,2,1030,-25,1,1033,-28,2,1032,-25,2,1032,-26,1,1029
1560597766,135.559944,34.738359,0.9,51.8,313.2,61,8,0.00,682,10.0,84,0,3824867,565190.18,13.29,0.00,,,,,,,,,28,,,,,,,,,,,,,,,,,2,1,1028,5,1,1032,12,2,1032,13,0,1033,8,0,1029
1560597767,135.559950,34.738355,0.9,53.2,313.2,61,8,0.00,685,10.0,84,0,3824867,565190.66,13.36,0.00,,,,,,,,,28,,,,,,,,,,,,,,,,,7,0,1029,11,4,1031,6,6,1033,1,3,1034,3,3,1030
1560597768,135.559952,34.738353,0.9,53.0,313.2,61,8,0.00,687,10.0,85,0,3824867,565191.13,13.37,0.00,,,,,,,,,28,,,,,,,,,,,,,,,,,3,3,1030,3,1,1033,2,0,1032,0,0,1027,2,0,1032
1560597769,135.559952,34.738353,0.9,53.0,313.2,61,3,0.00,683,10.0,85,0,3824867,565191.61,13.27,0.00,,,,,,,,,29,,,,,,,,,,,,,,,,,1,0,1032,3,-2,1026,0,-4,1028,-5,0,1030,-8,-7,1027
1560597770,135.559952,34.738353,0.9,53.0,313.2,61,3,3.00,673,10.0,85,1,3824868,565192.11,13.18,1.60,,,,,,,,,29,,,,,,,,,,,,,,,,,-39,-7,1019,-100,0,1065,-113,7,1032,-44,-13,978,-51,-15,1035
1560597771,135.559952,34.738353,0.9,53.0,313.2,61,3,4.00,673,10.0,85,1,3824869,565192.60,13.31,2.20,,,,,,,,,29,,,,,,,,,,,,,,,,,-51,-15,1035,-56,0,1029,-47,-1,1021,-79,-3,1040,-113,-12,1022
