time,longitude,latitude,accuracy,height,azimuth,rscp,ecio,car_speed,engine_rpm,accel_pos,engine_cool_temp,brake_sw,accum_dist,accum_fuel,battery_voltage,fuel_cost,idle_sw,ac,light_sw,steering_torque,shift_pos,shift_mode,blinker,wiper,fuel_injection,odometer,soc,air_temp_setting1,air_temp_setting2,air_temp_setting3,air_fan1,air_fan2,air_fan3,ext_int_air,door_lock,door_open,seatbelt,abs,temperature,motor_temperature,electric_mileage,a_000_x,a_000_y,a_000_z,a_200_x,a_200_y,a_200_z,a_400_x,a_400_y,a_400_z,a_600_x,a_600_y,a_600_z,a_800_x,a_800_y,a_800_z
1560421622,,,,,,,,0.00,893,10.0,75,1,3793182,560174.19,13.64,0.00,,,,,,,,,43,,,,,,,,,,,,,,,,,35,2,1068,35,3,1058,-5,8,1014,42,0,1072,36,4,1068
1560421623,,,,,,,,0.00,869,10.0,75,1,3793182,560174.94,13.55,0.00,,,,,,,,,46,,,,,,,,,,,,,,,,,36,4,1068,34,2,1071,36,2,1071,36,3,1074,40,0,1071
1560421624,,,,,,,,0.00,714,10.0,75,1,3793182,560175.76,13.54,0.00,,,,,,,,,53,,,,,,,,,,,,,,,,,47,0,1071,105,-2,1068,97,1,1074,75,-2,1069,58,-12,1068
1560421625,,,,,,,,0.00,855,10.0,75,1,3793182,560176.83,13.71,0.00,,,,,,,,,64,,,,,,,,,,,,,,,,,84,-37,1066,88,-54,1048,89,-42,1060,89,-35,1061,116,-53,1058
1560421626,,,,,,,,0.00,857,15.0,75,0,3793182,560178.30,13.73,0.00,,,,,,,,,114,,,,,,,,,,,,,,,,,116,-53,1058,163,-82,1039,167,-114,1022,140,-132,1021,128,-103,1034
1560421627,,,,,,,,4.00,1288,15.0,75,0,3793184,560179.99,13.76,0.90,,,,,,,,,88,,,,,,,,,,,,,,,,,129,-105,1036,128,-108,1020,104,-115,1022,60,-108,1025,51,-97,1043
1560421628,,,,,,,,5.00,1197,13.0,75,0,3793186,560181.18,13.75,2.10,,,,,,,,,68,,,,,,,,,,,,,,,,,47,-97,1038,52,-87,1042,61,-82,1038,55,-73,1047,56,-62,1058
1560421629,,,,,,,,9.00,1123,10.0,75,0,3793188,560182.31,13.74,2.20,,,,,,,,,67,,,,,,,,,,,,,,,,,48,-33,1046,43,-7,1076,45,20,1083,46,-23,1029,38,9,1098
1560421630,,,,,,,,10.00,901,10.0,75,1,3793191,560183.00,13.76,4.00,,,,,,,,,41,,,,,,,,,,,,,,,,,38,9,1098,36,-3,1053,33,-16,1072,33,1,1080,33,-13,1057
1560421631,,,,,,,,11.00,798,10.0,75,0,3793194,560183.69,13.62,4.30,,,,,,,,,42,,,,,,,,,,,,,,,,,33,-13,1057,35,0,1080,36,-3,1057,36,13,1097,29,0,1063
1560421632,,,,,,,,11.00,835,10.0,75,1,3793197,560184.40,13.61,3.50,,,,,,,,,42,,,,,,,,,,,,,,,,,29,0,1063,29,6,1070,28,13,1068,19,0,1071,-8,13,1071
1560421633,,,,,,,,10.00,807,10.0,75,1,3793199,560185.08,13.62,4.00,,,,,,,,,41,,,,,,,,,,,,,,,,,-104,9,1059,-71,4,1060,-11,7,1064,-15,-1,1066,-7,-2,1068
