time,longitude,latitude,accuracy,height,azimuth,rscp,ecio,car_speed,engine_rpm,accel_pos,engine_cool_temp,brake_sw,accum_dist,accum_fuel,battery_voltage,fuel_cost,idle_sw,ac,light_sw,steering_torque,shift_pos,shift_mode,blinker,wiper,fuel_injection,odometer,soc,air_temp_setting1,air_temp_setting2,air_temp_setting3,air_fan1,air_fan2,air_fan3,ext_int_air,door_lock,door_open,seatbelt,abs,temperature,motor_temperature,electric_mileage,a_000_x,a_000_y,a_000_z,a_200_x,a_200_y,a_200_z,a_400_x,a_400_y,a_400_z,a_600_x,a_600_y,a_600_z,a_800_x,a_800_y,a_800_z
1560673433,,,,,,,,0.00,445,10.0,60,0,3929158,577622.01,12.50,0.00,,,,,,,,,16,,,,,,,,,,,,,,,,,-66,-15,1025,-78,-6,1028,-61,-16,1020,-59,-13,1021,-60,-14,1022
1560673434,,,,,,,,0.00,451,10.0,60,0,3929158,577622.26,12.37,0.00,,,,,,,,,14,,,,,,,,,,,,,,,,,-60,-14,1022,-59,-12,1022,-60,-14,1024,-57,-11,1021,-60,-14,1025
1560673435,,,,,,,,0.00,447,10.0,60,0,3929158,577622.51,12.49,0.00,,,,,,,,,14,,,,,,,,,,,,,,,,,-58,-11,1025,-54,-16,1022,-60,-12,1022,-58,-13,1022,-57,-13,1026
1560673436,,,,,,,,0.00,442,10.0,60,0,3929158,577622.76,12.37,0.00,,,,,,,,,14,,,,,,,,,,,,,,,,,-57,-13,1026,-58,-12,1022,-61,-13,1022,-58,-14,1023,-57,-11,1022
1560673437,,,,,,,,0.00,435,10.0,60,0,3929158,577623.01,12.16,0.00,,,,,,,,,14,,,,,,,,,,,,,,,,,-57,-11,1022,-58,-15,1023,-56,-13,1021,-61,-15,1021,-57,-10,1024
1560673438,,,,,,,,0.00,440,10.0,60,0,3929158,577623.26,12.31,0.00,,,,,,,,,14,,,,,,,,,,,,,,,,,-57,-10,1024,-63,-10,1023,-59,-12,1023,-60,-12,1024,-61,-11,1018
1560673439,,,,,,,,0.00,440,13.0,60,0,3929158,577623.51,12.36,0.00,,,,,,,,,14,,,,,,,,,,,,,,,,,-60,-9,1027,-62,-14,1024,-60,-10,1021,-61,-12,1022,-63,-9,1024
1560673440,,,,,,,,0.00,1331,10.0,60,0,3929158,577625.92,13.91,0.00,,,,,,,,,217,,,,,,,,,,,,,,,,,-63,-9,1024,-63,-13,1024,-59,-8,1021,-65,-13,1023,-58,-13,1024
1560673441,,,,,,,,0.00,2084,10.0,60,0,3929158,577626.58,13.94,0.00,,,,,,,,,39,,,,,,,,,,,,,,,,,-58,-13,1024,-64,-11,1019,-56,-10,1027,-63,-10,1026,-57,-12,1021
1560673442,,,,,,,,0.00,1277,10.0,60,0,3929158,577627.12,13.89,0.00,,,,,,,,,30,,,,,,,,,,,,,,,,,-57,-12,1021,-58,-11,1022,-60,-13,1021,-60,-14,1020,-57,-11,1023
1560673443,,,,,,,,0.00,923,10.0,60,0,3929158,577627.62,13.93,0.00,,,,,,,,,29,,,,,,,,,,,,,,,,,-61,-11,1023,-60,-12,1023,-59,-11,1025,-59,-11,1024,-58,-12,1022
1560673444,,,,,,,,0.00,920,10.0,60,0,3929158,577628.11,13.91,0.00,,,,,,,,,29,,,,,,,,,,,,,,,,,-58,-12,1021,-61,-12,1023,-59,-12,1021,-59,-14,1021,-59,-11,1022
1560673445,,,,,,,,0.00,913,10.0,60,0,3929158,577628.61,13.96,0.00,,,,,,,,,29,,,,,,,,,,,,,,,,,-59,-11,1022,-60,-14,1022,-61,-12,1022,-60,-10,1024,-60,-15,1021
1560673446,,,,,,,,0.00,908,10.0,60,0,3929158,577629.09,13.94,0.00,,,,,,,,,28,,,,,,,,,,,,,,,,,-60,-15,1021,-60,-11,1022,-59,-13,1021,-60,-11,1023,-59,-13,1023
